YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2015,2015-12-30,21500476,BOS,104.0,LAL,112.0,0.432,0.457,0.84,0.739,0.259,0.474,23.0,22.0,45.0,52.0,10.0,10.0,,BOS,0.0
2015,2015-12-30,21500477,TOR,94.0,WAS,91.0,0.341,0.402,0.821,0.765,0.25,0.364,14.0,24.0,55.0,44.0,16.0,10.0,,TOR,1.0
2015,2015-12-30,21500478,CHI,102.0,IND,100.0,0.43,0.381,0.815,0.792,0.333,0.318,15.0,18.0,53.0,46.0,21.0,12.0,,CHI,1.0
2015,2015-12-30,21500479,MIN,94.0,UTA,80.0,0.468,0.35,0.63,0.7,0.5,0.256,27.0,15.0,47.0,44.0,10.0,19.0,,MIN,1.0
2015,2015-12-30,21500480,DAL,114.0,GSW,91.0,0.512,0.407,0.8,0.75,0.519,0.368,20.0,20.0,52.0,37.0,15.0,12.0,,DAL,1.0
2015,2015-12-30,21500481,SAS,112.0,PHX,79.0,0.566,0.395,0.606,0.556,0.429,0.278,26.0,18.0,46.0,36.0,13.0,15.0,,SAS,1.0
2015,2015-12-30,21500482,POR,110.0,DEN,103.0,0.471,0.425,0.8,0.895,0.375,0.444,22.0,20.0,47.0,44.0,14.0,14.0,,POR,1.0
2015,2015-12-30,21500483,SAC,105.0,PHI,110.0,0.486,0.426,0.61,0.618,0.32,0.29,23.0,23.0,46.0,53.0,22.0,13.0,,SAC,0.0
2015,2015-12-31,21500484,IND,116.0,MIL,120.0,0.5,0.584,0.808,0.686,0.433,0.429,27.0,18.0,35.0,34.0,19.0,16.0,,IND,0.0
2015,2015-12-31,21500486,DET,115.0,MIN,90.0,0.477,0.407,0.679,0.789,0.4,0.357,24.0,22.0,52.0,36.0,16.0,15.0,,DET,1.0
2015,2015-12-31,21500485,HOU,110.0,GSW,114.0,0.462,0.512,0.897,0.63,0.4,0.478,21.0,35.0,33.0,43.0,15.0,18.0,,HOU,0.0
2015,2015-12-31,21500487,NOP,89.0,LAC,95.0,0.439,0.389,0.667,0.789,0.28,0.294,21.0,24.0,42.0,47.0,15.0,12.0,,NOP,0.0
2015,2015-12-31,21500488,OKC,110.0,PHX,106.0,0.525,0.524,0.792,0.923,0.333,0.4,29.0,24.0,37.0,37.0,13.0,16.0,,OKC,1.0
